Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
South Africa,ZAF,Urban population,SP.URB.TOTL,7971774,8200255,8427003,8662570,8906585,9158950,9419473,9688363,9966367,10254488,10551339,10849639,11158594,11475657,11797250,12121153,12445371,12771480,13105135,13454231,13828615,14253248,14700152,15162766,15630401,16134214,16716155,17299431,17891635,18505772,19149881,19822817,20511177,21212379,21906214,22576687,23218617,23836117,24431488,25011815,25582579,26143328,26720456,27305501,27898739,28506195,29131012,29774433,30442138,31137754,31866171,32630538,33429132,34249974,35079618,35905874,36724030,37534797,38339668,
South Africa,ZAF,Rural population,SP.RUR.TOTL,9128066,9324278,9538722,9760591,9989722,10225891,10468777,10718501,10975778,11241587,11518437,11815632,12122914,12437442,12755290,13074034,13391517,13709433,14033830,14373089,14728154,15079855,15450296,15830992,16211192,16544660,16779798,16998296,17209274,17424278,17650628,17896133,18161430,18421371,18657845,18859071,19022394,19151344,19250772,19326728,19385129,19427946,19430457,19413695,19392871,19374406,19358447,19345326,19337333,19339257,19350793,19373634,19404873,19439262,19466373,19480493,19479624,19465654,19439954,
